年度,縣市,受服務單位,志工團隊學校
107,南投縣,南投縣-水里數位機會中心,國立勤益科技大學
107,南投縣,南投縣-縣立水里國小,國立勤益科技大學
107,新竹縣,新竹縣-新埔數位機會中心,明新科技大學
107,新竹縣,新竹縣-縣立寶石國小,明新科技大學
107,新竹縣,新竹縣-縣立新星國小,明新科技大學
107,新竹縣,新竹縣-橫山數位機會中心,明新科技大學
107,新竹縣,新竹縣-縣立沙坑國小,明新科技大學
107,南投縣,南投縣-國姓數位機會中心,弘光科技大學
107,南投縣,南投縣-縣立國姓國中,弘光科技大學
107,南投縣,南投縣-集集數位機會中心,僑光科技大學
107,南投縣,南投縣-縣立隘寮國小,僑光科技大學
107,臺南市,臺南市-新化數位機會中心,遠東科技大學
107,高雄市,高雄市-市立砂崙國小,遠東科技大學
107,臺南市,臺南市-柳營數位機會中心,遠東科技大學
107,臺南市,臺南市-市立月津國小,遠東科技大學
107,臺南市,臺南市-市立果毅國小,遠東科技大學
107,臺南市,臺南市-後壁數位機會中心,遠東科技大學
107,臺南市,臺南市-市立樹人國小,遠東科技大學
107,臺南市,臺南市-市立那拔國小,遠東科技大學
107,臺南市,臺南市-市立六甲國小,遠東科技大學
107,臺南市,臺南市-市立五甲國小,遠東科技大學
107,宜蘭縣,宜蘭縣-壯圍數位機會中心,明志科技大學
107,苗栗縣,苗栗縣-頭屋數位機會中心,元智大學
107,屏東縣,屏東縣-萬巒數位機會中心,輔英科技大學
107,屏東縣,屏東縣-縣立佳佐國小,輔英科技大學
107,臺南市,臺南市-麻豆數位機會中心,崑山科技大學
107,臺南市,臺南市-市立北門國中,崑山科技大學
107,臺南市,臺南市-大內數位機會中心,崑山科技大學
107,臺南市,臺南市-市立錦湖國小,崑山科技大學
107,臺南市,臺南市-市立文山國小,崑山科技大學
107,臺南市,臺南市-市立雙春國小,崑山科技大學
107,臺南市,臺南市-市立北門國小,崑山科技大學
107,臺南市,臺南市-山上數位機會中心,崑山科技大學
107,臺南市,臺南市-市立山上國小,崑山科技大學
107,臺南市,臺南市-西港數位機會中心,崑山科技大學
107,高雄市,高雄市-林園數位機會中心,崑山科技大學
107,臺南市,臺南市-龍崎數位機會中心,崑山科技大學
107,臺南市,臺南市-六甲數位機會中心,崑山科技大學
107,臺南市,臺南市-將軍數位機會中心,崑山科技大學
107,臺南市,臺南市-市立漚汪國小,崑山科技大學
107,屏東縣,屏東縣-新埤數位機會中心,慈惠醫護管理專科學校
107,屏東縣,屏東縣-縣立新埤國小,慈惠醫護管理專科學校
107,屏東縣,屏東縣-牡丹數位機會中心,慈惠醫護管理專科學校
107,屏東縣,屏東縣-縣立牡丹國中,慈惠醫護管理專科學校
107,屏東縣,屏東縣-車城數位機會中心,慈惠醫護管理專科學校
107,屏東縣,屏東縣-縣立車城國中,慈惠醫護管理專科學校
107,屏東縣,屏東縣-霧臺數位機會中心,慈惠醫護管理專科學校
107,屏東縣,屏東縣-縣立霧臺國小,慈惠醫護管理專科學校
107,新北市,新北市-萬里數位機會中心,致理科技大學
107,新北市,新北市-市立萬里國小,致理科技大學
107,臺東線,臺東線-海端數位機會中心,致理科技大學
107,苗栗縣,苗栗縣-公館數位機會中心,長庚科技大學
107,苗栗縣,苗栗縣-縣立開礦國小,長庚科技大學
107,屏東縣,屏東縣-枋山數位機會中心,美和科技大學
107,屏東縣,屏東縣-內埔數位機會中心,美和科技大學
107,高雄市,高雄市-市立內門國中,美和科技大學
107,新北市,新北市-平溪數位機會中心,真理大學
107,桃園市,桃園市-復興數位機會中心,真理大學
107,新北市,新北市-市立石門國中,真理大學
107,新北市,新北市-市立乾華國小,真理大學
107,新北市,新北市-三芝數位機會中心,真理大學
107,嘉義縣,嘉義縣-番路數位機會中心,南華大學
107,嘉義縣,嘉義縣-縣立大湖國小,南華大學
107,嘉義縣,嘉義縣-中埔數位機會中心,國立虎尾科技大學
107,嘉義縣,嘉義縣-縣立沄水國小,國立虎尾科技大學
107,嘉義縣,嘉義縣-縣立同仁國小,國立虎尾科技大學
107,彰化縣,彰化縣-福興數位機會中心,國立彰化師範大學
107,彰化縣,彰化縣-縣立日新國小,國立彰化師範大學
107,臺東縣,臺東縣-北源數位機會中心,國立臺東大學
107,臺東縣,臺東縣-縣立北源國小,國立臺東大學
107,臺東縣,臺東縣-縣立紅葉國小,國立臺東大學
107,臺東縣,臺東縣-大武數位機會中心,國立臺東大學
107,臺東縣,臺東縣-太麻里數位機會中心,國立臺東大學
107,桃園市,桃園市-羅浮數位機會中心,黎明技術學院
107,花蓮縣,花蓮縣-花蓮市數位機會中心,國立東華大學
107,高雄市,高雄市-燕巢數位機會中心,長榮大學
107,高雄市,高雄市-市立燕巢國小,長榮大學
107,宜蘭縣,宜蘭縣-頭城數位機會中心,國立宜蘭大學
107,新竹縣,新竹縣-北埔數位機會中心,玄奘大學
107,新竹縣,新竹縣-縣立峨眉國小,玄奘大學
107,宜蘭縣,宜蘭縣-三星數位機會中心,康寧大學
107,苗栗縣,苗栗縣-泰安數位機會中心,仁德醫護管理專科學校
107,苗栗縣,苗栗縣-縣立後龍國中,仁德醫護管理專科學校
107,苗栗縣,苗栗縣-銅鑼數位機會中心,仁德醫護管理專科學校
107,苗栗縣,苗栗縣-縣立中興國小,仁德醫護管理專科學校
107,金門縣,金門縣-金城數位機會中心,國立金門大學
107,金門縣,金門縣-縣立湖埔國小,國立金門大學
107,嘉義縣,嘉義縣-溪口數位機會中心,吳鳳科技大學
107,嘉義縣,嘉義縣-縣立柴林國小,吳鳳科技大學
107,嘉義縣,嘉義縣-縣立大埔國(中)小,吳鳳科技大學
107,臺東縣,臺東縣-鹿野數位機會中心,國立屏東大學
107,屏東縣,屏東縣-縣立恆春國中,國立屏東大學
107,宜蘭縣,宜蘭縣-蘇澳數位機會中心,中國科技大學
